date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 2 nights in January 2017,Couple,"Reviewed February 06, 2017",Had always been my top place to stay in Singapore. Convenient and good service from staff,Good Location”,Eng from Brunei Darussalam
Stayed 3 nights in January 2017,Family with teens,"Reviewed February 05, 2017","Location, food and friendly staff",Very convenient place”,LIM from Brunei Darussalam
Stayed 1 night in January 2017,Group,"Reviewed February 03, 2017",The room is abit outdated but good service n very spacious. Channel tv be upgraded,Great room”,Lie from Indonesia
Stayed 1 night in January 2017,Group,"Reviewed February 03, 2017","Spacious room, good service",Awesome room”,Lie from Indonesia
Stayed 2 nights in January 2017,Family with young children,"Reviewed February 02, 2017",5 STAR HOTEL,GOOD LOCATION”,HADIYANTO from Indonesia
Stayed 2 nights in July 2016,Family with young children,"Reviewed February 02, 2017","Great Location near MRT Station, room clean, the staffs are helpful. ",Great Location ”,Robien from Indonesia
Stayed 1 night in February 2013,Couple,"Reviewed January 31, 2017",Nice location,Cozy”,EKA from New Zealand
Stayed 7 nights in December 2016,Family with young children,"Reviewed January 30, 2017",Location of the hotel is very convenient.,Location”,Sherwin from Philippines
Stayed 7 nights in December 2016,Family with young children,"Reviewed January 30, 2017",Location of the hotel is very convenient.,Location”,Sherwin from Philippines
Stayed 3 nights in April 2010,Family with young children,"Reviewed January 29, 2017","good stay, near to shopping street",5star service”,Sandy from Indonesia
Stayed 3 nights in March 2010,Family with young children,"Reviewed January 29, 2017","good stay, near to shopping street",5star service”,Sandy from Indonesia
Stayed 4 nights in July 2009,Family with young children,"Reviewed January 29, 2017","very good stay, nice staff",5 star service”,Sandy from Indonesia
"Reviewed January 29, 2017",Solo traveler,"Reviewed January 29, 2017",I love the cleanliness and convenient location of this hotel. Value for money and the staffs are friendly. Cabs and stations are near. Will come back  ,Very good”,leng from Malaysia
Stayed 4 nights in December 2016,Group,"Reviewed January 27, 2017",centrally located and very nice hotel,fantastic”,Patricia from Philippines
Stayed 1 night in January 2017,Family with teens,"Reviewed January 26, 2017",Great hotel at a fantastic location in the heart of Orchard Road,Fantastic stay”,Hirak from Australia
Stayed 1 night in January 2017,Couple,"Reviewed January 23, 2017","One of my fave hotel . Good atmosphere. Such a good service. Perfect location to culinary, shopping and other stuff. This location near by 313 sommerset u can find a lot of kind of food. ",Highly recommended”,Tio from Indonesia
Stayed 3 nights in January 2017,Family with young children,"Reviewed January 22, 2017",Great place - great location - breakfast time should be till 10-30 - staff are too quick to take everything away from breakfast place ,Very nice ”,Mahesh from South Africa
Stayed 1 night in December 2016,Couple,"Reviewed January 20, 2017","Nice hotel with excellent location, the cleanness of the room, the staffs is so helpful and the choice of breakfast also excellent, never dissapoint for this hotel!",Excellent hotel in Orchard”,JOSEPHINE from Indonesia
Stayed 1 night in October 2013,Solo traveler,"Reviewed January 20, 2017",very clean very good value lots of food and entertainment nearby,standard classic hotel”,samuel from Indonesia
Stayed 2 nights in January 2017,Group,"Reviewed January 19, 2017",It got nice design! The room is comfort and big. We were staying connecting room which was great for our family,Great location ”,Solin from Cambodia
Stayed 3 nights in January 2017,Group,"Reviewed January 18, 2017","I'm extending my stay in Singapore. Despite the busy season, the staff help me to keep the same room during the stay. 
the location and breakfast are great","Great hotel, great breakfast, and helpful staff”",Henny from Indonesia
Stayed 2 nights in July 2016,Business traveler,"Reviewed January 18, 2017",Always happy to come back to this hotel. The location is great. Right in the heart of Orchard.,Great Location”,Alexandro from Indonesia
Stayed 5 nights in January 2017,Couple,"Reviewed January 17, 2017","Have stayed here many times over the years. Still a good hotel in a great location.

Only negative is that the gym is not easy to get to, seemingly built as an afterthought.",Great location”,Eng from Malaysia
Stayed 2 nights in January 2017,Business traveler,"Reviewed January 17, 2017",Very Good :),Great Stay”,Liem from Indonesia
Stayed 3 nights in January 2017,Family with young children,"Reviewed January 17, 2017",We had a great stay at Mandarin. It's location is superb.  The room is equipped with a 4G phone that we used to purchase tickets online.  Would surely recommend this hotel to family and friends.,Great stay”,Conrado from Philippines
Stayed 2 nights in January 2016,Family with young children,"Reviewed January 16, 2017",You can get to restaurant one minute from the hotel.  It has shopping in the hotel.  The breakfast was not good and the restaurant has a old smell.  Room is standard size.,Shopping hotel ”,Chandy from United States
Stayed 4 nights in September 2016,Family with young children,"Reviewed January 16, 2017",Easy to access to shopping center and restaurant around. And within a walking distance to hospital.  Restaurant foods was not very good and the carpet is old. easy to get taxi.  responsive staffs.,Centrally located in shopping district”,Chandy from United States
Stayed 2 nights in January 2017,Family with young children,"Reviewed January 16, 2017","Polite staff, great location, nice breakfast buffet. ",Good location”,Monnie from Malaysia
Stayed 2 nights in January 2017,Group,"Reviewed January 15, 2017",Everyone was very polite. Hotel is very clean . Nearby shops and food places. ,Excellent Service”,Jennifer from Philippines
Stayed 2 nights in January 2017,Family with young children,"Reviewed January 15, 2017",VERY ACCELENT,NeaR STORE”,parlinsyah from Indonesia
Stayed 1 night in January 2017,Group,"Reviewed January 14, 2017","The staff is really helpful. Even the cleaning service is really nice.
Even though the price is a bit higher, but worth since it's located in the central of the orchard","Best staff , best location”",Henny from Indonesia
Stayed 2 nights in January 2017,Family with young children,"Reviewed January 14, 2017","Good location.
Comfy room. 
Nice hotel staffs. 
Need improvement on bath room shower and break fast variety. ","Good location, nice staffs”",David from Indonesia
Stayed 1 night in October 2016,Couple,"Reviewed January 12, 2017","friendly staffs, centrally located, clean rooms",Great Hotel”,TZYCHERNG from Brunei Darussalam
Stayed 2 nights in January 2017,Family with young children,"Reviewed January 12, 2017",good locatiion,good locatiion”,Rezaul from Bangladesh
Stayed 4 nights in January 2017,Family with teens,"Reviewed January 12, 2017","Close to train, shopping centers, very convenient, clean room, polite staffs",Good location”,Sui from Malaysia
Stayed 1 night in January 2017,Couple,"Reviewed January 10, 2017",Classic 5 star hotel experience in Orchard Road.,Great Orchard Road Location”,Jui from Singapore
Stayed 1 night in December 2016,Family with teens,"Reviewed January 10, 2017",NA,NA”,Voon from Singapore
Stayed 4 nights in January 2017,Business traveler,"Reviewed January 08, 2017",I will come back soon!,Very good location!!!”,VIET from Vietnam
Stayed 2 nights in November 2016,Group,"Reviewed January 08, 2017","The room is pretty spacious, clean and well equipped. 
The hotel is located in the centre of orchard, which is really great!","Good, above average”",Henny from Indonesia
Stayed 2 nights in January 2017,Family with young children,"Reviewed January 07, 2017",Good,Good”,MOCHAMMAD from Indonesia
Stayed 3 nights in January 2017,Family with young children,"Reviewed January 06, 2017",This is a hotel that really meet my expectation. Walking distance to the mall and food. So recommended.,Best location hotel”,Tedy from Indonesia
Stayed 2 nights in September 2016,Family with young children,"Reviewed January 06, 2017",Staffs are very helpful. Location is good!,Nice Location and staff”,Reaofang from Thailand
Stayed 1 night in March 2016,Business traveler,"Reviewed January 05, 2017",good,good”,Muchtar from Indonesia
Stayed 1 night in May 2016,Business traveler,"Reviewed January 05, 2017",good,good”,Muchtar from Indonesia
Stayed 5 nights in November 2016,Group,"Reviewed January 04, 2017",The hotel location is in the centrer of Orchard. It's really nice for sightseeing and shopping. Mrt Station is also in walking distance,"best location , great variety of breakfast”",Henny from Indonesia
Stayed 1 night in December 2016,Business traveler,"Reviewed January 04, 2017",Mandarin Orchad Hotel is one of the hotel in Singapore..,Very Good Hotel”,Deby from Indonesia
Stayed 1 night in January 2017,Family with young children,"Reviewed January 04, 2017",So convience and walking distance to mall also MRT station. Love it,Nice and clean hotel”,Tedy from Indonesia
Stayed 3 nights in December 2016,Family with teens,"Reviewed January 03, 2017",Good food ,Great hotel”,win from Myanmar
Stayed 2 nights in July 2016,Family with young children,"Reviewed January 02, 2017",excelent,very good”,dewi from Indonesia
Stayed 1 night in December 2016,Group,"Reviewed January 02, 2017",Booked family room but was upgraded to bridal suite. Very spacious and cozy. Location is excellent! Staff was prompt in response to our calls too. Didn't get to use their facilities though.,Excellent stay!”,Yue from Singapore
Stayed 4 nights in December 2016,Family with teens,"Reviewed January 02, 2017",Location was great as it's close to all major malls and next to 2 MRTs. Checking in and out was much faster compared to last time I stayed there. ,Great convenient location ”,Ester from Indonesia
Stayed 1 night in December 2016,Family with teens,"Reviewed December 31, 2016","Excellent location, good breakfast",Good One Night Stay in Singapore”,Praditya from Indonesia
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 30, 2016",The hotel location is very good and very near to the shopping mall.,The hotel is very good. ”,NAY from Myanmar
Stayed 2 nights in August 2016,Family with young children,"Reviewed December 30, 2016",The hotel is in a good location.,This hotel is very good”,NAY from Myanmar
Stayed 3 nights in December 2016,Business traveler,"Reviewed December 29, 2016",good hotel,good hotel”,Thanh from Vietnam
Stayed 2 nights in December 2016,Business traveler,"Reviewed December 28, 2016","Great location next to takashimaya shopping centre, bfast great ",Great location”,samihah from Indonesia
Stayed 3 nights in December 2016,Solo traveler,"Reviewed December 27, 2016",Need more variety for breakfast ,Best location ever”,ADE from Indonesia
Stayed 2 nights in December 2016,Group,"Reviewed December 27, 2016","The location is very good. Just step out from Hotel, reach to Orchard Road. Breakfast are nice and delicious. Very friendly staff and good facilities. Will stay in next trip too. ",Convenient Location and Clean ”,AYE from Myanmar
Stayed 1 night in December 2016,Family with teens,"Reviewed December 26, 2016","Enjoyable, tip top cleanliness, facilities and location!",Very excellent!”,Dk from Brunei Darussalam
Stayed 2 nights in December 2016,Couple,"Reviewed December 26, 2016",No sauna faciluties,Splendid place for shopping”,Wanimin from Indonesia
Stayed 3 nights in December 2016,Family with teens,"Reviewed December 24, 2016","We booked a triple room, if only the third bed was a fixed bed instead of an added rollaway bed, it would be perfect.","Great location, big and clean room.”",Winnie from Canada
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 21, 2016",Good fasilitas,Good location”,Meliana from Indonesia
Stayed 2 nights in October 2016,Group,"Reviewed December 20, 2016",Breakfast is good and very clean room ,Very comfortable and good breakfast”,Peerada from Thailand
Stayed 3 nights in October 2016,Business traveler,"Reviewed December 20, 2016",i just had a great stay ,great location”,Mohamed from Egypt
Stayed 2 nights in December 2016,Solo traveler,"Reviewed December 19, 2016",Everything about this hotel is really great! ,Great! ”,Timothy from United States
Stayed 1 night in December 2016,Solo traveler,"Reviewed December 19, 2016","Nyaman, strategis, staff ramah",kamar nyaman”,christine from Indonesia
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 19, 2016",The location is perfect. Staff are friendly. Services are good,Very good hotel to stay”,NGOC from Vietnam
Stayed 2 nights in December 2016,Family with young children,"Reviewed December 17, 2016",Excellent,great holiday”,Randi from Indonesia
Stayed 1 night in November 2016,Family with young children,"Reviewed December 16, 2016", free room upgrade. Helpful staff,Great services”,Anisa from Indonesia
Stayed 5 nights in December 2016,Couple,"Reviewed December 16, 2016","I was here with my spouse on vacation, and it was a very enjoyable stay in a 5 star location, at a 5 star hotel.",Enjoyable holiday”,Kumarie from Sri Lanka
Stayed 1 night in July 2016,Family with young children,"Reviewed December 16, 2016",Mandarin Orchard has the best location. It is easy for family with young children to travel if staying here. ,Location location and location.”,amier from Indonesia
Stayed 2 nights in November 2016,Couple,"Reviewed December 15, 2016",Good location,Good location”,Kiet from Vietnam
Stayed 3 nights in December 2016,Group,"Reviewed December 14, 2016",great location.. nice room.. ,location.. location.. location..”,I from Indonesia
Stayed 2 nights in December 2016,Family with young children,"Reviewed December 12, 2016",very convenient location to paragon and takashimaya,good location”,kelvin from Indonesia
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 12, 2016",Perfect place to stay when you come to Singapore.it is in very good location and the staff are very helpful.fast check in.there are plenty restaurants surrounding the hotel.,Perfect location and great staff”,Herry from Indonesia
Stayed 2 nights in November 2016,Couple,"Reviewed December 11, 2016",the best in town,Always glad to be back”,Rendi from Indonesia
Stayed 2 nights in May 2016,Family with young children,"Reviewed December 11, 2016",great location,location...”,I from Indonesia
Stayed 2 nights in December 2016,Couple,"Reviewed December 09, 2016",This is still one of the best hotels to stay in SG if you're into shopping. Everything is just a stone throw's away!,Centrally located hotel”,hazelyn from Philippines
Stayed 3 nights in December 2016,Group,"Reviewed December 09, 2016","Easy to go shopping
Enjoy Eating
And Good Service",Nice Hotel”,Kittiwat from Thailand
Stayed 3 nights in December 2016,Group,"Reviewed December 09, 2016","The Hotel is on Orchard Road, is the center of shopping, sightseeing 
Nice food, Nice room",Good service Hotel ”,Kittiwat from Thailand
Stayed 3 nights in December 2016,Business traveler,"Reviewed December 09, 2016",Location is the Best,Perfect Location ”,Phucherlin from Thailand
Stayed 4 nights in December 2016,Couple,"Reviewed December 08, 2016",Singapore is always good for a few days stopover for shopping. Orchard Road everything became expensive. One pint of beer for 25S $.,Weekend in Singapore is always great!”,Stefan from Switzerland
Stayed 1 night in December 2016,Couple,"Reviewed December 07, 2016",Free upgrade to Club Room upon arrival. Overall great stay,Mandarin Orchard Excellent”,Muhammad from Singapore
Stayed 4 nights in December 2016,Family with young children,"Reviewed December 07, 2016",Fantastic stay with friendly staff. I would enjoyed every single minute of my stay. Will come back soon!,Great stay”,Mohd from Malaysia
Stayed 1 night in February 2010,Couple,"Reviewed December 05, 2016","Located in the center of the city, convenient and very good service",Great stay”,Jhonny from Indonesia
Stayed 1 night in June 2016,Couple,"Reviewed December 05, 2016","Very Good and fast room services. 
The Food is Good too.",Very Good Services”,Tran from Vietnam
Stayed 2 nights in December 2016,Business traveler,"Reviewed December 05, 2016",Goood,Good”,NGUYEN from Vietnam
Stayed 4 nights in March 2016,Business traveler,"Reviewed December 04, 2016",I love the location close the every where,Best hotel in Orchard ”,Omer from Turkey
Stayed 3 nights in January 2016,Family with teens,"Reviewed December 03, 2016","Cleaness, location and also facilities ",good location”,Freddy from Indonesia
Stayed 5 nights in November 2016,Couple,"Reviewed December 03, 2016","The hotel, room and staff are all 5 star. The only thing is the price which is quite steep.",Nice hotel but pricey”,Zoenaedy from Indonesia
Stayed 2 nights in November 2016,Couple,"Reviewed November 28, 2016","Nice Hotel, Nice Place",Nice Hotel”,Frenky from Indonesia
Stayed 2 nights in November 2016,Solo traveler,"Reviewed November 28, 2016",Fantastic location with good price,Fantastic location with good price”,Yelena from Indonesia
Stayed 2 nights in December 2013,Couple,"Reviewed November 28, 2016",Perfect location and huge room,"location, room”",Suryati from Indonesia
Stayed 3 nights in April 2016,Couple,"Reviewed November 27, 2016",very nice,excellent”,grayson from Indonesia
Stayed 2 nights in July 2016,Business traveler,"Reviewed November 25, 2016",Keep it up,Excellent ”,Nityananda from India
Stayed 3 nights in November 2016,Couple,"Reviewed November 25, 2016","Location is great, Staff in so warm, Breakfast is nice and Comfortable Room...Thank You",Spectacular”,widi from Indonesia
Stayed 1 night in November 2016,Family with young children,"Reviewed November 23, 2016","location is good, clean. buffet breakfast was so so",great 5 star hotel”,Sijie from Singapore
Stayed 2 nights in November 2016,Group,"Reviewed November 22, 2016",the hotel is in the heart of orchard were the place is good for shopping and dinning. Definetly a place to stay when in singapore,orchard road location”,Ma from Philippines
Stayed 3 nights in May 2013,Family with young children,"Reviewed November 22, 2016",Nice,Nice”,lamganda from Indonesia
Stayed 3 nights in October 2016,Solo traveler,"Reviewed November 21, 2016","One of my best experience stay at Mandarin Orchard hotel,  comfy room, great location, great breakfast,  nice & friendly staff","Nice hotel,  good location, great breakfast”",Joan from Indonesia
Stayed 2 nights in November 2016,Couple,"Reviewed November 21, 2016",Went over to Singapore for a medical check up. Staying in Mandarin many times before and has so far never disappoint us.,Short Medical Trip”,Jonathan from Brunei Darussalam
Stayed 2 nights in October 2016,Business traveler,"Reviewed November 18, 2016",Good location with clean. ,Nice and clean and in orchard”,Frederik from Indonesia
Stayed 3 nights in November 2016,Group,"Reviewed November 18, 2016",Pick up point has improved so much for the fact that the waiting time has significantly shorten. Great location and service. ,Its better than I think ”,Raei from Malaysia
Stayed 3 nights in November 2016,Group,"Reviewed November 17, 2016",The room is relatively big in comparison to other hotels ,"Good location, great service and excellent experience ”",Raei from Malaysia
Stayed 2 nights in November 2016,Family with young children,"Reviewed November 16, 2016",Location safety,Location safety ”,BUT from Cambodia
Stayed 2 nights in November 2016,Family with young children,"Reviewed November 16, 2016",My stay has always been a good one. Staff are professionals and friendly. Love the free breakfast buffet.  I wish the hotel could provide weighing scale and a nespresso machine. ,Never Fails”,Ma from Philippines
Stayed 3 nights in August 2016,Couple,"Reviewed November 16, 2016","Well...it's on Orchard, that's what counts.",Typical big branded hotel.”,Tirdsak from Thailand
Stayed 1 night in September 2016,Business traveler,"Reviewed November 15, 2016",Nice hotel,Business Trip”,Wong from Malaysia
Stayed 1 night in March 2016,Business traveler,"Reviewed November 13, 2016",Hotel nearby take ,Hotels in orchard ”,KURNIAWAN from Indonesia
Stayed 2 nights in November 2016,Couple,"Reviewed November 13, 2016","Best location, good food ! ",80”,SUTANTO from Indonesia
Stayed 5 nights in November 2016,Business traveler,"Reviewed November 12, 2016","Good location , nice staf , esay for shopping , ",90”,Benny from Indonesia
Stayed 5 nights in June 2016,Couple,"Reviewed November 11, 2016",Enjoyed a good stay here. The food at the hotel was a bit expensive but I guess thats what happens when you are on Orchard Road ! Hotel is fantastic though and location is second to none. ,Great Stay ! ”,Amrith from Sri Lanka
Stayed 3 nights in August 2016,Family with young children,"Reviewed November 10, 2016",Satisfied,Very Good”,DAISY from Indonesia
Stayed 5 nights in October 2016,Family with young children,"Reviewed November 09, 2016","Happy with this hotel. In the middle
of busy Orchard Road",Nice getaway with the family ”,PAULO from Philippines
Stayed 1 night in October 2016,Couple,"Reviewed November 08, 2016","The guest are from Indonesia wanting the orchard road experience, so this is the ideal hotel.  They enjoyed themselves in and around the hotel.",Book for guest”,Keng from Malaysia
Stayed 5 nights in July 2016,Couple,"Reviewed November 08, 2016","clean, staff nice , breakfast delicious , strategic location",Good and excelent hotel”,Nila from Indonesia
Stayed 2 nights in November 2016,Family with teens,"Reviewed November 07, 2016","Cleaness, best location & good breakfast",Good room & comfortable”,Hendri from Indonesia
Stayed 1 night in November 2016,Group,"Reviewed November 07, 2016",Fast check in,Friend wedding ”,Jason from Singapore
Stayed 2 nights in August 2016,Business traveler,"Reviewed November 04, 2016",Great Location,Great Location”,Ian from Brunei Darussalam
Stayed 2 nights in November 2015,Couple,"Reviewed November 04, 2016",The location of this hotel makes it such a convenience to get to anywhere you want in Singapore.,A great hotel in a superb location”,William from Indonesia
Stayed 3 nights in February 2015,Business traveler,"Reviewed November 04, 2016",Perfect place to stay on Orchard.,Great Place for Location”,Kelvin from Malaysia
Stayed 1 night in June 2016,Family with young children,"Reviewed November 04, 2016",Comfortable and good services ,Love this hotel ”,Yap from Malaysia
Stayed 1 night in September 2016,Couple,"Reviewed November 04, 2016","very good location, good staff and clean hotel",good hotel”,Jongky from Indonesia
Stayed 2 nights in October 2016,Couple,"Reviewed November 03, 2016",Execellent hotel,Very good location and staffs friendly”,Sham from Malaysia
Stayed 1 night in July 2016,Family with teens,"Reviewed November 03, 2016",Good location. Very nice hotel. Spacious room. Delicious buffet. ,Good location great hotel”,henry from Philippines
Stayed 6 nights in July 2016,Family with teens,"Reviewed November 03, 2016",Great location. Very nice hotel. Good room size.  Very delicious buffet. Highly recommended,Great hotel. Great location”,henry from Philippines
Stayed 1 night in October 2016,Business traveler,"Reviewed November 02, 2016",A nice Hotel with a very good Location. very wasy to get food and shopping even meeting with anyone .,Good Hotel”,Danny from Indonesia
Stayed 1 night in March 2016,Family with teens,"Reviewed November 02, 2016",Nice stay,Good location”,irawati from Indonesia
Stayed 1 night in October 2016,Family with young children,"Reviewed November 02, 2016",great hotel,great hotel”,Nico from Indonesia
Stayed 3 nights in June 2014,Family with teens,"Reviewed November 01, 2016",good location,very nice”,adrian from Indonesia
Stayed 1 night in September 2016,Business traveler,"Reviewed November 01, 2016","Room comfort and cozy. I got the triple single bed because I'm coming with mom and dad. The hotel is near to the mall, it make us easy to go shopping and find food.",Comfortable room.”,Yenny from Indonesia
Stayed 2 nights in June 2015,Business traveler,"Reviewed October 31, 2016",Great location and room was clean ,Great”,CAI from Singapore
Stayed 4 nights in October 2016,Family with young children,"Reviewed October 29, 2016","Location, location, location. Easy access to the great things in Orchard Rd",Great Location”,Fung from Indonesia
Stayed 4 nights in October 2016,Solo traveler,"Reviewed October 29, 2016",Good ,Service ”,Bunneang from Cambodia
Stayed 2 nights in October 2016,Business traveler,"Reviewed October 28, 2016","Enjoyed Mandarin Orchard where we stayed. The Hotel is clean, friendly staff and easy access. ",My stay in Singapore”,Praditya from Indonesia
Stayed 2 nights in October 2016,Business traveler,"Reviewed October 27, 2016",I always stay at Mandarin Orchard when location is our priority. Room could be better as the current condition is rather tired and old. But cleanliness is good.,"Great Location, Tired Room”",HENDRY from Indonesia
Stayed 2 nights in May 2016,Family with young children,"Reviewed October 25, 2016",great trip,Good”,Jong from South Korea
Stayed 4 nights in October 2016,Couple,"Reviewed October 23, 2016","Pros:
- Strategic, at core of Orchard Rd.
- Friendly Staff
- Fresh Room
- contemporary design.","5D4N, Singapore 2016”",Setiawan from Indonesia
Stayed 2 nights in April 2012,Business traveler,"Reviewed October 23, 2016","Location, standard.very nice",standard orchard hotel location”,samuel from Indonesia
Stayed 1 night in September 2016,Business traveler,"Reviewed October 22, 2016",Clean and good location,Clean and good location”,Untung from Indonesia
Stayed 2 nights in October 2016,Family with teens,"Reviewed October 22, 2016",Concierge make us to pay more for taxi go to airport instead of reguler taxi,concierge make us unhappy”,steven from Indonesia
Stayed 3 nights in October 2016,Group,"Reviewed October 21, 2016",NICE AND CLEAN HOTEL WITH EASY ACCESS TO ORCHARD AREA,NICE CLEAN HOTEL”,Charles from Indonesia
Stayed 2 nights in October 2016,Business traveler,"Reviewed October 21, 2016",Courteous from the day we stepped into the hotel till we check out. ,This is the first time i stayed at this hotel and found it to be very convenient and all staff were ”,Chii from Canada
Stayed 5 nights in October 2016,Family with young children,"Reviewed October 20, 2016",Good value,Worthed the money spent”,Shirley from Indonesia
Stayed 1 night in October 2016,Business traveler,"Reviewed October 19, 2016","always send my parents to stay here when they come to singapore, and I did too! close to everywhere I used to go. ",great!”,Angelique from Indonesia
Stayed 2 nights in July 2016,Couple,"Reviewed October 18, 2016","Clean and good location
",Great stay”,Mellisa from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed October 18, 2016",Clean and good location,Great stay”,Mellisa from Indonesia
Stayed 3 nights in October 2016,Couple,"Reviewed October 18, 2016",Clean and good location,Great”,Mellisa from Indonesia
Stayed 1 night in October 2016,Couple,"Reviewed October 18, 2016",Clean and good location,Satisfied”,Mellisa from Indonesia
Stayed 3 nights in October 2016,Family with young children,"Reviewed October 18, 2016",Our family stayed in a deluxe room is spacious and nice interior decoration,A spacious deluxe room with what a nice breakfast !”,NUCHJARIN from Thailand
Stayed 2 nights in July 2016,Family with young children,"Reviewed October 16, 2016",worth it,worth it”,edwin from Indonesia
Stayed 2 nights in September 2016,Family with young children,"Reviewed October 16, 2016",nice place,nice place”,edwin from Indonesia
Stayed 4 nights in April 2016,Family with young children,"Reviewed October 16, 2016",nice hotel,nice hotel”,edwin from Indonesia
Stayed 2 nights in September 2016,Family with young children,"Reviewed October 16, 2016",perfect,perfect”,edwin from Indonesia
Stayed 1 night in October 2016,Family with young children,"Reviewed October 16, 2016",good,good”,edwin from Indonesia
Stayed 3 nights in September 2016,Family with young children,"Reviewed October 15, 2016",one of the best Hotels in Singapore,Pleasent Hotel”,Dimas from Indonesia
Stayed 1 night in July 2016,Solo traveler,"Reviewed October 14, 2016",5 star quality in the middle of orchard road. ,Location”,Andry from Indonesia
Stayed 2 nights in October 2016,Family with young children,"Reviewed October 13, 2016",Easy to going anywhere !,"Great hotel, great location !”",Deky from Indonesia
Stayed 2 nights in October 2016,Couple,"Reviewed October 11, 2016","Good location, friendly staff",Good location”,Alfiarti from Indonesia
Stayed 1 night in November 2015,Group,"Reviewed October 11, 2016",Its nice location at chinatown,Nice location”,Megy from Indonesia
Stayed 1 night in March 2016,Couple,"Reviewed October 11, 2016",just nice,Nice Hotel”,Megy from Indonesia
Stayed 5 nights in October 2016,Group,"Reviewed October 11, 2016","Aircon hotel is cold and the room was tidy at noon without fail.
Its a nice place to stay and will be returning in the future
Thanks ","super convenient, great staff and clean room”",Martin from Indonesia
Stayed 5 nights in January 2015,Business traveler,"Reviewed October 09, 2016",Good,Good”,FU from Taiwan
Stayed 1 night in September 2016,Couple,"Reviewed October 09, 2016","Clean, comfort, nice service",good stay”,Felix from Indonesia
Stayed 4 nights in April 2016,Business traveler,"Reviewed October 08, 2016",Old but well kept hotel.  One of the older wings can use abit of upgrade in furnishing.  But still a good value for money choice right in the heart of the shopping district.,Good location and clean”,TAN from Singapore
Stayed 2 nights in September 2016,Family with teens,"Reviewed October 06, 2016",It was a great stay but would have more rooms of improvement ,Overall a great stay”,Boon from Malaysia
Stayed 1 night in September 2016,Business traveler,"Reviewed October 06, 2016","City center, convenience to mall and business center",Convenience location”,Jyn from Malaysia
Stayed 2 nights in September 2016,Couple,"Reviewed October 05, 2016",Hotel was in the middle location of orchard rd which is very good place and convenience place.,Singapore visit”,Davin from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed October 04, 2016",Good Location,Good Location”,Mohamed from Maldives
Stayed 2 nights in August 2016,Family with teens,"Reviewed October 04, 2016",It was nice hotel with great location,Nice n good location”,aloysius from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed October 04, 2016","Mandarin orchard is located in the middle of the shopping strip of the country, which is Orchard Rd. This is the best hotel for shopping.",Located at the center of the shopping strip”,Aripin from Indonesia
Stayed 3 nights in July 2016,Family with young children,"Reviewed October 03, 2016",Great place to stayed at This Hotel. Near all the happening Malls in Orchard. Great staff with very high hospitality. Will stay here again next time.,"Location, location and location.”",amier from Indonesia
Stayed 2 nights in September 2016,Business traveler,"Reviewed October 03, 2016",No conpalians what so ever,Top”,mustari from Indonesia
Stayed 4 nights in July 2016,Family with young children,"Reviewed October 03, 2016","Location was amazing, nice clean hotel. ",Great Location”,Erick from Indonesia
Stayed 2 nights in February 2016,Solo traveler,"Reviewed October 03, 2016","Perfect location, staff worked efficiently. Food was great",Great Location”,Erick from Indonesia
Stayed 3 nights in September 2016,Family with young children,"Reviewed October 01, 2016",Good place for family,Best location”,LISA from Indonesia
Stayed 1 night in September 2016,Solo traveler,"Reviewed September 29, 2016","lokasi nya bagus diantara shoping malls di orchard road dan i think it, i liked the crowded here","luxury hotel i ever stay, and i become addict of this hotel”",EVA from Indonesia
Stayed 2 nights in September 2016,Solo traveler,"Reviewed September 29, 2016","Good location, friendly staff, delicious food","Good location, friendly staff, delicious food”",Raei from Malaysia
Stayed 3 nights in July 2016,Family with teens,"Reviewed September 29, 2016","In terms of location and value for money, this is still the best hotel. Customer service is A+",Still the best hotel in Singapore”,Joanne from Philippines
Stayed 2 nights in September 2016,Family with young children,"Reviewed September 28, 2016","When i come to Singapore i usually choose Mandarin Orchard. Good lication, warm wellcomming !",Mandarin Orchard”,Hai from Vietnam
Stayed 2 nights in September 2016,Business traveler,"Reviewed September 28, 2016",The newly renovated room is nice. But it need to have a shower box. Is a bath tub which is dangerous for kids and older guest. But overall is very big room ,nice hotel ”,jod from Malaysia
Stayed 2 nights in September 2016,Family with young children,"Reviewed September 27, 2016","A luxury hotel, Good location, clean and comfortable room.",A Luxury Hotel”,Hendri from Indonesia
Stayed 4 nights in September 2016,Family with teens,"Reviewed September 24, 2016","check in time little bit disappointed, getting the room almost late up to 2 hours",Good location and relax able hotel ”,kevin from Indonesia
Stayed 3 nights in August 2015,Group,"Reviewed September 23, 2016",Good location ,Nice hotel”,JANJIRA from Thailand
Stayed 4 nights in September 2016,Business traveler,"Reviewed September 23, 2016","great location
",not bad”,Chen from China
Stayed 4 nights in July 2016,Solo traveler,"Reviewed September 23, 2016","hotel rooms very clean , tidy and cozy","strategic of the location , mrt , shopping area ”",Darmawati from Indonesia
